Name,Year,Duration,Genre,Votes,Director,Actor 1,Actor 2,Actor 3,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,Revenue_Millions,Rating
#Gadhvi (He thought he was Gandhi),2019,109,Drama,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,813,22000,27000,1144337,106759,2701,23000,164000,333.13,7
#Yaaram,2019,110,"Comedy, Romance",35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,462,475,640,212204,1873,738,632,24000,126.46,4.4
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,324,15,799,294810,2036,387,553,29000,138.12,4.7
...Yahaan,2005,142,"Drama, Romance, War",1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,375,282,25000,321795,58753,973,11000,10000,270.32,7.4
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,313,563,40000,522040,48486,1832,5000,5000,325.02,5.6
@Andheri,2014,116,"Action, Crime, Thriller",11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,450,563,40000,181792,45757,711,2000,48000,45.13,4
1:1.6 An Ode to Lost Love,2004,96,Drama,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,448,252,40000,370704,54083,484,11000,58000,151.06,6.2
1:13:7 Ek Tera Saath,2016,120,Horror,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,451,188,10000,268154,12572,341,816,40000,,5.9
100 Days,1991,161,"Horror, Romance, Thriller",983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,599,464,15000,451803,28489,1225,10000,56000,8.01,6.5
100% Love,2012,166,"Comedy, Drama, Romance",512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,516,94,21000,272670,64798,1022,19000,72000,100.01,5.7
102 Not Out,2018,102,"Comedy, Drama",6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,377,532,14000,202382,26679,751,10000,44000,234.02,7.4
10ml LOVE,2010,87,"Comedy, Drama, Romance",162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,644,365,3000,418214,8458,1290,2000,150000,169.27,6.3
12 O'Clock,1958,132,"Crime, Drama, Mystery",72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,608,1000,21000,557489,30426,1187,4000,95000,532.17,7.2
12 O'Clock,2021,105,"Horror, Thriller",63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,451,13000,40000,306320,79957,736,25000,24000,248.75,4.4
127 B,2017,116,"Comedy, Horror",26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,376,37,12000,235025,14863,265,779,44000,2.87,6.6
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,495,464,15000,321227,28631,1067,10000,41000,368.31,7.3
15 Park Avenue,2005,116,Drama,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,469,364,12000,264183,25550,665,10000,30000,67.12,7.1
15th August,1993,168,Drama,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,304,487,1000,101178,4482,283,919,10000,162.16,5.6
16-Dec,2002,158,"Action, Thriller",1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,436,258,16000,223393,17657,550,368,24000,51.69,6.9
18.11,2014,126,Action,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,453,125,15000,544884,19085,733,1000,30000,100.5,3.5
19 Revolutions,2004,94,Drama,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,654,395,17000,465019,32392,995,11000,129000,7.22,4.5
1920,2008,138,"Horror, Mystery, Romance",3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,590,14000,19000,395573,21411,1171,981,92000,47.7,6.4
1920 London,2016,120,"Horror, Mystery",1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,490,1000,29000,362912,29770,753,509,115000,,4.1
1920: Evil Returns,2012,124,"Drama, Horror, Romance",1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,306,179,15000,222403,16149,453,567,23000,153.69,4.8
1921,2018,144,"Horror, Mystery, Romance",1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,470,14000,11000,333847,14959,2054,1000,5000,103.14,4.5
1942: A Love Story,1994,157,"Action, Drama, History",3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,488,56,2000,273556,5005,428,1000,39000,,7.2
1971,2007,136,"Action, Drama, War",1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,322,681,998,53607,1327,432,119,30000,6.5,8.1
1978: A Teen Night Out,2019,107,Thriller,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,421,475,1000,718837,2975,1043,729,16000,0.01,4
1982 - A Love Marriage,2017,113,Comedy,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,367,776,1000,283418,2144,1055,468,13000,113.08,5.5
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,248,282,11000,42372,21175,239,10000,29000,54.65,6.8
02-Oct,2003,122,"Action, Crime, Thriller",33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,645,22000,23000,1676169,57802,4667,13000,37000,60.31,5
2 States,2014,149,"Comedy, Drama, Romance",24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,486,4000,21000,696338,39252,1055,12000,10000,10.64,6.9
2,2018,148,"Action, Sci-Fi",21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,682,17000,17000,245333,36017,678,16000,42000,155.33,6.2
2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,418,452,10000,118992,11287,971,336,80000,363.02,3.5
2016 the End,2017,130,Comedy,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,186,293,87000,115099,108016,257,11000,2000,26.84,6.1
